Booking_year_month,Booking_month,DOB_month,Age<25,Age26-50,Age>50,Summer,Spring,Winter,Autum,total_crime,day_of_week_Monday,day_of_week_Tuesday,day_of_week_Wednesday,day_of_week_Thursday,day_of_week_Friday,day_of_week_Saturday,day_of_week_Sunday,CityRN_FOREIGN,CityRN_HOMELESS,CityRN_MIAMI
2015-05,70,118,3,7,4,0,14,0,0,14,0,0,0,0,3,4,7,2,3,9
2015-06,792,940,13,91,28,0,132,0,0,132,22,13,23,24,19,20,11,9,38,85
2015-07,994,942,18,92,32,142,0,0,0,142,14,13,29,28,23,21,14,13,52,77
2015-08,1224,1013,15,112,26,153,0,0,0,153,24,17,20,20,18,22,32,14,43,96
2015-09,1089,803,11,84,26,121,0,0,0,121,13,22,23,24,13,10,16,11,44,66
2015-10,1560,1057,16,92,48,0,0,0,156,156,13,16,21,39,18,26,23,10,46,100
2015-11,1254,774,4,81,29,0,0,0,114,114,18,18,25,15,13,17,8,5,42,67
2015-12,1548,891,11,90,28,0,0,0,129,129,16,15,22,35,12,15,14,11,37,81
2016-01,130,854,13,81,36,0,0,130,0,130,14,14,13,30,21,23,15,12,43,75
2016-02,246,754,16,67,40,0,0,123,0,123,23,15,23,20,16,15,11,6,37,80
2016-03,414,861,13,94,31,0,0,138,0,138,16,25,20,26,16,20,15,5,47,86
2016-04,520,819,8,94,28,0,130,0,0,130,22,22,20,22,12,14,18,8,44,78
2016-05,660,769,16,85,31,0,132,0,0,132,17,21,20,24,20,18,12,6,38,88
2016-06,912,1047,19,82,51,0,152,0,0,152,18,21,30,27,17,21,18,7,53,92
2016-07,1001,896,20,92,31,143,0,0,0,143,18,23,25,17,22,20,18,10,54,79
2016-08,1240,924,9,108,38,155,0,0,0,155,22,23,25,26,24,21,14,8,56,91
2016-09,1332,1034,8,97,43,148,0,0,0,148,20,23,25,28,27,14,11,10,42,96
2016-10,1210,776,17,80,24,0,0,0,121,121,20,19,15,18,9,15,25,8,34,78
2016-11,1276,760,12,84,20,0,0,0,116,116,20,17,25,14,13,9,18,6,33,77
2016-12,1596,880,10,82,41,0,0,0,133,133,14,17,24,31,17,20,10,14,39,80
2017-01,153,970,17,111,25,0,0,153,0,153,26,25,25,27,17,15,18,12,43,98
2017-02,270,859,18,95,22,0,0,135,0,135,22,16,24,30,17,16,10,10,47,78
2017-03,375,847,12,81,32,0,0,125,0,125,10,24,20,31,19,13,8,13,41,71
2017-04,488,850,11,78,33,0,122,0,0,122,17,13,21,25,17,17,12,5,41,76
2017-05,800,1126,20,100,40,0,160,0,0,160,23,22,30,19,29,15,22,14,39,107
2017-06,762,817,16,83,28,0,127,0,0,127,12,23,26,25,14,14,13,3,45,79
2017-07,868,739,12,80,32,124,0,0,0,124,17,17,15,28,10,21,16,10,38,76
2017-08,1200,984,20,97,33,150,0,0,0,150,14,27,30,25,15,25,14,12,46,92
2017-09,990,761,16,60,34,110,0,0,0,110,14,16,16,13,19,14,18,9,30,71
2017-10,1320,817,10,85,37,0,0,0,132,132,18,23,27,15,20,10,19,6,44,82
2017-11,1342,838,21,83,18,0,0,0,122,122,15,16,24,19,15,21,12,11,31,80
2017-12,1548,850,18,80,31,0,0,0,129,129,20,15,29,16,13,12,24,8,45,76
2018-01,144,933,24,93,27,0,0,144,0,144,25,23,34,18,19,14,11,10,37,97
2018-02,262,897,26,83,22,0,0,131,0,131,23,18,19,31,14,13,13,10,35,86
2018-03,438,945,25,91,30,0,0,146,0,146,17,19,27,28,22,19,14,2,45,99
2018-04,604,1040,28,88,35,0,151,0,0,151,29,7,31,31,17,16,20,11,41,99
2018-05,730,899,15,105,26,0,146,0,0,146,14,17,41,32,14,12,16,6,45,95
2018-06,744,843,17,83,24,0,124,0,0,124,13,17,14,27,19,23,11,5,38,81
2018-07,973,977,18,88,33,139,0,0,0,139,24,21,25,19,18,12,20,7,53,79
2018-08,1008,850,18,85,23,126,0,0,0,126,16,14,20,30,15,16,15,7,43,76
2018-09,1107,745,12,89,22,123,0,0,0,123,8,15,18,26,17,19,20,7,38,78
2018-10,1350,922,16,97,22,0,0,0,135,135,23,9,33,30,20,10,10,8,39,88
2018-11,1364,795,13,84,27,0,0,0,124,124,10,17,22,29,20,11,15,8,45,71
2018-12,1452,818,23,80,18,0,0,0,121,121,13,13,21,17,13,26,18,8,46,67
2019-01,155,982,23,100,32,0,0,155,0,155,23,20,24,35,24,18,11,10,54,91
2019-02,290,934,22,92,31,0,0,145,0,145,14,18,38,31,16,10,18,10,40,95
2019-03,417,932,26,84,29,0,0,139,0,139,15,13,26,24,32,10,19,9,38,92
2019-04,524,880,26,74,31,0,131,0,0,131,27,21,24,18,13,14,14,13,23,95
2019-05,745,1007,21,99,29,0,149,0,0,149,15,26,34,17,15,22,20,11,45,93
2019-06,654,697,14,75,20,0,109,0,0,109,16,15,19,21,11,16,11,17,46,45
