,Row Labels,zip,ABUSE,ASSAULT & BATTERY,BURGLARY,CRIMINAL GANG,DRUGS & ALCOHOL,FIRE,GAMBLING,HOMICIDE,KIDNAPPING,MISCELLANEOUS CRIMES,PROTEST,SEXUAL MISCONDUCT,TREASON,WHITE COLLAR,Grand Total,Zip_Code,Latitude,Longitude
0,AVENTURA,33180,0.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9,33180,25.960389000000003,-80.143113
1,BAL HARBOUR,33154,1.0,68.0,9.0,0.0,54.0,3.0,0.0,0.0,0.0,60.0,0.0,4.0,2.0,7.0,208,33154,25.883337,-80.131831
2,NORTH MIAMI,33154,1.0,13.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,1.0,2.0,61,33154,25.883337,-80.131831
3,BRICKELL,33131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,33131,25.766206,-80.182897
4,COCONUT GROVE,33133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,33133,25.728662,-80.23999599999999
5,CORAL GABLES,33145,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,33145,25.753132,-80.234427
6,CUTLER BAY,33189,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,33189,25.572213,-80.33543399999999
7,DORAL,33178,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,8,33178,25.834607000000002,-80.42290799999999
8,FLORIDA CITY,33030,0.0,5.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,31,33030,25.485147,-80.510882
9,HOMESTEAD,33030,1.0,20.0,4.0,0.0,24.0,0.0,0.0,1.0,1.0,23.0,0.0,5.0,1.0,2.0,82,33030,25.485147,-80.510882
10,HIALEAH,33014,1.0,21.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,1.0,70,33014,25.9031,-80.302654
11,MIAMI LAKES,33014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,33014,25.9031,-80.302654
12,HIALEAH GARDENS,33016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33016,25.896066,-80.33314
13,MIAMI GARDENS,33016,0.0,9.0,6.0,0.0,15.0,0.0,0.0,0.0,1.0,29.0,0.0,3.0,2.0,0.0,65,33016,25.896066,-80.33314
14,KENDALL,33186,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,33186,25.654426,-80.41215600000001
15,KEY BISCAYNE,33149,0.0,37.0,12.0,0.0,32.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,3.0,0.0,118,33149,25.719513,-80.168541
16,MIAMI,33142,1.0,474.0,187.0,0.0,480.0,20.0,0.0,3.0,5.0,757.0,0.0,47.0,45.0,32.0,2051,33142,25.812043,-80.238614
17,MIAMI BEACH,33140,0.0,21.0,12.0,0.0,17.0,1.0,0.0,1.0,1.0,15.0,0.0,2.0,0.0,2.0,72,33140,25.819714,-80.133711
18,MIAMI SPRINGS,33166,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7,33166,25.827855,-80.316183
19,NO MIAMI BEACH,33160,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33160,25.933997,-80.135801
20,NORTH BEACH,33160,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,33160,25.933997,-80.135801
21,NORTH MIAMI BEACH,33160,3.0,441.0,154.0,0.0,333.0,9.0,1.0,2.0,5.0,446.0,0.0,17.0,26.0,35.0,1472,33160,25.933997,-80.135801
22,SUNNY ISLES,33160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,33160,25.933997,-80.135801
23,SUNNY ISLES BEACH,33160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,33160,25.933997,-80.135801
24,OPA-LOCKA,33013,7.0,456.0,139.0,0.0,274.0,20.0,0.0,11.0,4.0,603.0,1.0,19.0,41.0,24.0,1599,33013,25.86219,-80.269677
25,SOUTH MIAMI,33155,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11,33155,25.736887,-80.31076800000001
