Zip_Code,Latitude,Longitude
33001,24.81713,-80.806001
33004,26.057838,-80.137801
33009,25.985129,-80.147261
33010,25.833202,-80.27872
33012,25.866106,-80.301115
33013,25.86219,-80.269677
33014,25.9031,-80.302654
33015,25.940565,-80.31818
33016,25.896066,-80.33314
33018,25.917734,-80.384416
33019,26.027459,-80.120219
33020,26.019191,-80.152944
33021,26.02313,-80.186539
33023,25.9892,-80.217067
33024,26.027148,-80.244713
33025,25.98821,-80.281374
33026,26.026198,-80.295994
33027,25.988101,-80.340444
33028,26.021034,-80.340397
33029,25.974621,-80.420075
33030,25.485147,-80.510882
33031,25.524982,-80.500875
33032,25.531517,-80.3908
33033,25.481199,-80.414925
33034,25.274332,-80.632552
33035,25.409275,-80.384155
33036,24.893835,-80.710993
33037,25.228322,-80.395451
33039,25.501679,-80.398423
33040,24.560908,-81.889478
33042,24.682083,-81.510666
33043,24.725861,-81.329949
33050,24.747487,-81.010326
33051,24.723406,-81.021647
33054,25.908575,-80.265122
33055,25.948468,-80.278855
33056,25.948877,-80.243582
33060,26.234776,-80.120591
33062,26.241077,-80.091233
33063,26.251909,-80.208929
33064,26.278502,-80.1153
33065,26.274498,-80.2604
33066,26.252615,-80.170374
33067,26.305788,-80.223371
33068,26.215954,-80.217951
33069,26.23583,-80.1571
33070,25.017205,-80.518498
33071,26.244602,-80.265312
33073,26.29824,-80.181415
33076,26.315322,-80.277978
33101,25.779298,-80.198739
33109,25.756717,-80.140066
33122,25.794856,-80.288375
33125,25.783849,-80.23609
33126,25.7794,-80.299475
33127,25.813175,-80.205808
33128,25.776168,-80.203733
33129,25.750167,-80.190028
33130,25.768524,-80.203359
33131,25.766206,-80.182897
33132,25.77789,-80.176165
33133,25.728662,-80.239996
33134,25.753332,-80.270379
33135,25.766544,-80.235095
33136,25.787182,-80.204722
33137,25.816281,-80.171528
33138,25.853764,-80.178006
33139,25.779808,-80.1532
33140,25.819714,-80.133711
33141,25.851854,-80.138726
33142,25.812043,-80.238614
33143,25.703032,-80.297375
33144,25.763458,-80.312667
33145,25.753132,-80.234427
33146,25.72085,-80.272571
33147,25.851225,-80.238166
33149,25.719513,-80.168541
33150,25.85219,-80.207174
33154,25.883337,-80.131831
33155,25.736887,-80.310768
33156,25.668203,-80.29701
33157,25.606126,-80.343496
33158,25.63884,-80.311316
33160,25.933997,-80.135801
33161,25.893664,-80.181539
33162,25.927997,-80.177175
33165,25.734345,-80.358271
33166,25.827855,-80.316183
33167,25.884867,-80.239362
33168,25.893051,-80.209181
33169,25.943117,-80.214686
33170,25.557912,-80.457897
33172,25.786909,-80.361253
33173,25.70232,-80.357503
33174,25.761518,-80.364697
33175,25.734787,-80.406761
33176,25.659873,-80.358354
33177,25.596129,-80.404194
33178,25.834607,-80.422908
33179,25.95762,-80.179998
33180,25.960389,-80.143113
33181,25.897992,-80.152331
33182,25.780654,-80.457553
33183,25.702563,-80.404682
33184,25.759711,-80.406473
33185,25.726359,-80.450733
33186,25.654426,-80.412156
33187,25.595896,-80.506909
33189,25.572213,-80.335434
33190,25.560027,-80.349887
33193,25.70077,-80.465111
33194,25.714005,-80.583757
33196,25.652131,-80.490508
33301,26.121323,-80.127909
33304,26.140411,-80.121184
33305,26.153361,-80.11944
33306,26.165442,-80.113853
33308,26.188511,-80.104988
33309,26.18599,-80.172721
33311,26.144208,-80.172785
33312,26.088128,-80.181807
33313,26.151527,-80.227316
33314,26.067601,-80.222643
33315,26.087015,-80.152994
33316,26.098738,-80.121896
33317,26.1126,-80.227875
33319,26.181382,-80.225802
33321,26.213579,-80.270272
33322,26.151064,-80.269953
33323,26.151721,-80.320963
33324,26.112485,-80.27494
33325,26.112043,-80.318317
33326,26.114333,-80.37067
33327,26.11122,-80.419892
33328,26.068175,-80.274812
33330,26.060831,-80.319086
33331,26.059533,-80.368583
33332,26.006735,-80.460152
33334,26.182586,-80.133578
33351,26.179526,-80.275008
33401,26.715844,-80.070249
33403,26.803747,-80.076368
33404,26.781022,-80.063738
33405,26.669649,-80.058452
33406,26.664093,-80.092407
33407,26.757692,-80.091172
33408,26.840483,-80.052158
33409,26.714559,-80.095821
33410,26.845662,-80.08735
33411,26.720012,-80.193151
33412,26.794532,-80.207075
33413,26.663779,-80.151724
33414,26.64892,-80.246459
33415,26.660205,-80.126573
33417,26.719196,-80.124507
33418,26.872713,-80.165712
33426,26.533736,-80.083152
33428,26.352906,-80.207938
33430,26.641965,-80.554002
33431,26.37476,-80.1062
33432,26.343902,-80.082735
33433,26.347159,-80.159235
33434,26.382712,-80.167138
33435,26.525785,-80.061367
33436,26.522954,-80.107263
33437,26.512045,-80.148962
33438,26.931927,-80.60069
33440,26.564765,-81.03784
33441,26.311098,-80.097874
33442,26.309175,-80.149813
33444,26.458903,-80.079637
33445,26.455331,-80.106353
33446,26.450443,-80.186185
33449,26.589949,-80.232713
33455,27.053143,-80.161232
33458,26.936558,-80.131851
33460,26.619664,-80.056715
33461,26.620406,-80.090703
33462,26.58002,-80.072282
33463,26.59324,-80.128244
33467,26.596362,-80.175602
33469,26.989221,-80.108541
33470,26.729431,-80.319858
33471,26.884624,-81.198234
33472,26.538476,-80.185568
33473,26.503777,-80.19161
33476,26.802148,-80.624722
